,Late-fusion x Content,DeCAF_6,Fine-tuned DeCAF_6,MC-bit,Murray-CVPR-2012,DeCAF_5,ImageNet scores,L*a*b* Histogram,GIST,Graph-based Saliency,random
Complementary_Colors,0.46850068050655441,0.54836429264014863,0.51408562515010081,0.32935078747747049,0.44,0.3683568696010851,0.38908455153946964,0.29376600334961339,0.22254322184181319,0.11136459849752398,0.12999922262225755
Duotones,0.67649649579490601,0.73723312779040773,0.6648224894829865,0.61177582784559681,0.51,0.36281647609312556,0.3829414988770779,0.58161503269266113,0.25461160316473225,0.23290812733698593,0.25867821472225333
HDR,0.66914232318139677,0.59428840938009175,0.51611389726262602,0.62380118301806964,0.64,0.49407690842069973,0.33503024274195098,0.19404993974325105,0.1236979866310237,0.10093901173827974,0.090990899194237057
Image_Grain,0.64726462475631852,0.54547934214351712,0.56301701307387186,0.74355663241705017,0.74,0.53463165104174126,0.21880467797395989,0.21258739626485756,0.10358279608482615,0.10352530689904395,0.09929259716161766
Light_On_White,0.90789068284147656,0.91492909900225161,0.86046187848039124,0.80185305787275141,0.73,0.80495565745715147,0.50848177901446501,0.86733996893315402,0.70415061454383132,0.1720977922054559,0.11291459498127639
Long_Exposure,0.45266356862544904,0.43089685009130974,0.44357330932621514,0.41962700254286217,0.43,0.20790198560256393,0.2421516366288429,0.2316887458208208,0.15888243754851802,0.14650811944019732,0.12743960921289124
Macro,0.47792975780140479,0.42665454177119166,0.48766708386200353,0.41326214492697161,0.5,0.37579726376346534,0.43755073852441173,0.22980551689555223,0.26929656176266215,0.1605435484118013,0.15412892449460552
Motion_Blur,0.47774646822999223,0.46704888291872776,0.38045035359450491,0.45843086614451278,0.4,0.3265707932621445,0.18606599605576188,0.11663537664954807,0.11431020924813069,0.12230627057959971,0.093188904980543982
Negative_Image,0.5948597306396719,0.61907837288516809,0.5607142806636688,0.49908951451637418,0.69,0.42705038946915447,0.32292967327842009,0.26771848359156175,0.18865640056134048,0.12261198005368767,0.10390104720001027
Rule_of_Thirds,0.35156891347591107,0.35261347626870987,0.29037444385776334,0.23559639195529927,0.3,0.26867281706223684,0.24379019595238963,0.18801402157228997,0.16652792442381195,0.2279245902758924,0.17056167397451033
Shallow_DOF,0.62353311318470617,0.65930207232219151,0.62671565172107935,0.63691554571885578,0.48,0.52219776151248076,0.51706917273532405,0.33184203079152386,0.27584584515877181,0.22284378381473186,0.20802901380714084
Silhouettes,0.79105386639383446,0.80107963687327421,0.83484172218553199,0.80112449356735893,0.72,0.60876792877974972,0.40074999303191222,0.26058538682561294,0.26341829718338605,0.12952714465987511,0.11693047555953257
Soft_Focus,0.31196987324723202,0.35367394878951175,0.30491500033637947,0.29013275277563855,0.39,0.22476930362606162,0.16994571175824166,0.12695113530504179,0.12589965543074147,0.1142462083280006,0.10227149779294878
Vanishing_Point,0.68379728688350971,0.65813495767949159,0.64564035998961322,0.68528870674041276,0.57,0.52697312536182472,0.54164203569669245,0.12276302545397963,0.10692137228897285,0.16130844645790438,0.091704693573707807
_mean,0.5810298132544547,0.5791983578968566,0.5495280792133383,0.5392717791085161,0.5385714285714285,0.43239563793239183,0.34973127884349425,0.2875258617063906,0.21988178041946874,0.1520467806213557,0.13285938351982382
