,Late-fusion x Content,MC-bit,DeCAF_6,Fine-tuned DeCAF_6,ImageNet,random
Abstract_Art,0.34087414910848984,0.31428599246283345,0.25811257863593445,0.23278771164082177,0.19196523616604325,0.044585107294898611
Abstract_Expressionism,0.35114569047371424,0.34009199111678473,0.24279841507504343,0.22175629663043295,0.15912148946985669,0.042483960213099026
Art_Informel,0.22050377400523205,0.21728852116862038,0.187335845104975,0.15849668583088949,0.13781390578036518,0.044903855844378733
Art_Nouveau_(Modern),0.42091873708510763,0.40206308406894503,0.19665651666551967,0.21884541610818686,0.095965504675911653,0.044102015125031216
Baroque,0.4358401312519255,0.38617574905985402,0.31326595959827014,0.33019079215332497,0.16215914964889361,0.043153340336565378
Color_Field_Painting,0.77295328861121793,0.73857440135377006,0.68897905850052388,0.70302317779607393,0.50318679086871854,0.046750666771852974
Cubism,0.49461882781882816,0.4875745673812879,0.3998065816585471,0.42698667638771204,0.19312825782981533,0.041247687286006543
Early_Renaissance,0.57799639684198834,0.55895257601691473,0.45313166630345064,0.42351249792449092,0.19240405815649225,0.043915008123896614
Expressionism,0.2345757867099347,0.2296231189276037,0.18628076361020598,0.18641915923643831,0.092662436243082069,0.042034984732038802
High_Renaissance,0.40067211167633859,0.34494249236133695,0.28782708292188347,0.28084549489412314,0.1651936561641946,0.041937983907482712
Impressionism,0.58603411128895,0.5275845314202714,0.411219208839677,0.43325854437774342,0.22737470435551996,0.042134954760377492
Magic_Realism,0.52132215317681074,0.46542799767655663,0.42763903306640993,0.43463039551104798,0.19794007702044158,0.040293670602675948
Mannerism_(Late_Renaissance),0.50509969725338966,0.43873327482610552,0.35627554326371569,0.35861911776480521,0.17079298512579322,0.040855621491685319
Minimalism,0.65978219153904494,0.61397830680760734,0.60356313955882401,0.63612034293140463,0.44869667393664231,0.041188173340965514
Nave_Art_(Primitivism),0.3952865980278536,0.42461160868704018,0.22497270035236647,0.20978679743752651,0.11149741170065006,0.04827145405867056
Neoclassicism,0.60066080593879712,0.53692646937755062,0.39865987183517793,0.43768149447296217,0.17948965625876195,0.043432142060888503
Northern_Renaissance,0.56039760489312829,0.47822005566747555,0.43290043163215919,0.33856015272937956,0.11941149833972957,0.042825403781724482
Pop_Art,0.44097143533060346,0.39790921953016445,0.28075979081938141,0.30418050532035151,0.16347004681838959,0.041048635633826498
Post-Impressionism,0.34824217903655524,0.34816522940688843,0.29216571198060115,0.3172412197588898,0.13510949584376358,0.042634100607403955
Realism,0.40785796752898468,0.30896114773987349,0.26588903737733965,0.26543746248749844,0.15942745800451469,0.041831005999154257
Rococo,0.61583182005132042,0.54768477822324191,0.46741172489963062,0.50064844127989083,0.2422815075379432,0.042049050271771596
Romanticism,0.39203369818830558,0.38893783044045283,0.34333064322147933,0.26458114137976935,0.18453793106846467,0.050879017973394801
Surrealism,0.26222566374541151,0.24698797031331607,0.13388066737575505,0.1518603588462778,0.098905909775704751,0.045496651365990334
Symbolism,0.38995390102423849,0.38957333267337824,0.25960207963153598,0.29637664370802608,0.17245642917460174,0.0441531089079275
Ukiyo-e,0.89514114219786178,0.89361939055775907,0.78793724614433502,0.76509014770634709,0.25987785034532518,0.042240201818000318
_mean,0.47323759451216124,0.4410757454906254,0.3560160519229097,0.35587746697257655,0.19059480481238478,0.04337791209238831
